Order Number,Shipper Name,Created At,Delivered At,Billing Type,Amount,Currency,Country,AWB
392880,Aramex,2023-12-07,2023-12-11,cash,13.615,USD,LB,8596261281
392881,Aramex,2023-12-07,2023-12-11,cash,10.78,USD,LB,8596261282
392882,Aramex,2023-12-07,2023-12-09,cash,10.57,USD,LB,8596261283
392883,Aramex,2023-12-07,2023-12-09,cash,14.775,USD,LB,8596261284
392884,Aramex,2023-12-07,2023-12-10,cybersource,17.285,USD,LB,8596261285
392885,Aramex,2023-12-07,2023-12-11,cash,10.525,USD,LB,8596261286
392886,Aramex,2023-12-07,2023-12-13,cash,8.21,USD,LB,8596261287
392887,Aramex,2023-12-07,2023-12-11,cash,1.985,USD,LB,8596261288
392888,Aramex,2023-12-07,2023-12-26,cash,3.31,USD,LB,8596261289
392889,Aramex,2023-12-07,2023-12-09,cash,11.36,USD,LB,8596261290
392890,Aramex,2023-12-07,2023-12-09,cash,10.785,USD,LB,8596261291
392891,Aramex,2023-12-07,2023-12-11,cash,14.635,USD,LB,8596261292
392892,Aramex,2023-12-07,2023-12-11,cash,10.73,USD,LB,8596261293
392893,Aramex,2023-12-07,2023-12-12,cash,3.32,USD,LB,8596261294
392894,Aramex,2023-12-07,2023-12-11,cash,10.62,USD,LB,8596261295
392895,Aramex,2023-12-07,2023-12-09,cash,11.16,USD,LB,8596261296
392896,Aramex,2023-12-07,2023-12-12,cash,1.975,USD,LB,8596261297
392897,Aramex,2023-12-07,2023-12-18,cash,34.305,USD,LB,8596261298
392898,Aramex,2023-12-07,2023-12-15,cash,21.915,USD,LB,8596261299
392899,Aramex,2023-12-07,2023-12-12,cybersource,18.965,USD,LB,8596261300
392900,Aramex,2023-12-07,2023-12-12,cash,7.955,USD,LB,8596261301
392901,Aramex,2023-12-07,2023-12-12,cash,7.96,USD,LB,8596261302
392902,Aramex,2023-12-07,2023-12-13,cash,5.11,USD,LB,8596261303
392903,Aramex,2023-12-07,2023-12-12,cash,9.94,USD,LB,8596261304
392904,Aramex,2023-12-07,2023-12-12,cash,13.86,USD,LB,8596261305
392905,Aramex,2023-12-07,2023-12-12,cash,5.04,USD,LB,8596261306
392906,Aramex,2023-12-08,2023-12-12,cash,12.735,USD,LB,8596261307
392907,Aramex,2023-12-08,2023-12-13,cash,6.775,USD,LB,8596261308
392908,Aramex,2023-12-08,2023-12-12,cash,9.62,USD,LB,8596261309
392909,Aramex,2023-12-08,2023-12-12,cash,5.94,USD,LB,8596261310
392910,Aramex,2023-12-08,2023-12-13,cash,15.37,USD,LB,8596261311
392911,Cosmaline,2023-12-08,2023-12-15,cash,17.0,USD,LB,8596261312
392912,Aramex,2023-12-08,2023-12-14,cash,14.95,USD,LB,8596261313
392913,Aramex,2023-12-08,2023-12-12,cash,16.87,USD,LB,8596261314
392914,Aramex,2023-12-08,2023-12-12,cash,10.535,USD,LB,8596261315
392915,Aramex,2023-12-08,2023-12-14,cash,10.68,USD,LB,8596261316
392916,Aramex,2023-12-08,2023-12-13,cash,17.815,USD,LB,8596261317
392917,Cosmaline,2023-12-08,2023-12-13,cash,14.45,USD,LB,8596261318
392918,Aramex,2023-12-08,2023-12-12,cash,6.025,USD,LB,8596261319
392919,Aramex,2023-12-08,2023-12-15,cash,24.21,USD,LB,8596261320
392920,Aramex,2023-12-08,2023-12-13,cash,7.93,USD,LB,8596261321
392921,Aramex,2023-12-08,2023-12-20,cash,10.585,USD,LB,8596261322
392922,Aramex,2023-12-08,2023-12-14,cash,11.3,USD,LB,8596261323
392923,Aramex,2023-12-08,2023-12-13,cash,6.405,USD,LB,8596261324
392924,Aramex,2023-12-08,2023-12-15,cash,10.89,USD,LB,8596261325
392925,Cosmaline,2023-12-08,2023-12-18,cash,17.0,USD,LB,8596261326
392926,Aramex,2023-12-08,2023-12-12,cash,10.285,USD,LB,8596261327
392927,Aramex,2023-12-08,2023-12-12,cash,19.975,USD,LB,8596261328
392928,Aramex,2023-12-08,2023-12-12,cash,8.395,USD,LB,8596261329
392929,Aramex,2023-12-08,2023-12-14,cash,21.615,USD,LB,8596261330
392930,Aramex,2023-12-08,2023-12-13,cash,6.74,USD,LB,8596261331
392931,Aramex,2023-12-08,2023-12-13,cash,10.345,USD,LB,8596261332
392932,Aramex,2023-12-08,2023-12-12,cash,24.3,USD,LB,8596261333
392933,Aramex,2023-12-08,2023-12-13,cash,4.525,USD,LB,8596261334
392934,Cosmaline,2023-12-08,2023-12-15,cash,47.805,USD,LB,8596261335
392935,Aramex,2023-12-08,2023-12-12,cash,1.975,USD,LB,8596261336
392936,Aramex,2023-12-08,2023-12-12,cash,10.01,USD,LB,8596261337
392937,Aramex,2023-12-08,2023-12-14,cash,6.465,USD,LB,8596261338
392938,Aramex,2023-12-08,2023-12-12,cash,2.455,USD,LB,8596261339
392939,Aramex,2023-12-08,2023-12-12,cash,10.175,USD,LB,8596261340
392940,Cosmaline,2023-12-08,2023-12-13,cash,17.0,USD,LB,8596261341
392941,Aramex,2023-12-08,2023-12-12,cash,3.085,USD,LB,8596261342
392942,Cosmaline,2023-12-08,2023-12-13,cash,10.395,USD,LB,8596261343
392943,Cosmaline,2023-12-08,2023-12-15,cash,1.755,USD,LB,8596261344
392944,Cosmaline,2023-12-08,2023-12-21,cash,0.0,USD,LB,8596261345
392945,Aramex,2023-12-08,2023-12-13,cash,5.875,USD,LB,8596261346
392946,Aramex,2023-12-08,2023-12-14,cash,29.855,USD,LB,8596261347
392947,Aramex,2023-12-08,2023-12-12,cash,10.75,USD,LB,8596261348
392948,Aramex,2023-12-08,2023-12-12,cash,4.595,USD,LB,8596261349
392949,Aramex,2023-12-08,2023-12-13,cash,15.855,USD,LB,8596261350
392950,Aramex,2023-12-08,2023-12-12,cash,12.265,USD,LB,8596261351
392951,Aramex,2023-12-08,2023-12-14,cash,6.185,USD,LB,8596261352
392952,Aramex,2023-12-08,2023-12-15,cash,10.8,USD,LB,8596261353
392953,Aramex,2023-12-08,2023-12-12,cash,4.36,USD,LB,8596261354
392954,Aramex,2023-12-08,2023-12-13,cash,11.5,USD,LB,8596261355
392955,Aramex,2023-12-08,2023-12-12,cash,10.81,USD,LB,8596261356
392956,Aramex,2023-12-08,2023-12-14,cash,4.535,USD,LB,8596261357
392957,Aramex,2023-12-08,2023-12-12,cash,18.38,USD,LB,8596261358
392958,Aramex,2023-12-08,2023-12-15,cash,11.64,USD,LB,8596261359
392959,Aramex,2023-12-08,2023-12-12,cash,10.15,USD,LB,8596261360
392960,Aramex,2023-12-08,2023-12-12,cash,11.395,USD,LB,8596261361
392961,Aramex,2023-12-08,2023-12-12,cash,10.355,USD,LB,8596261362
392962,Aramex,2023-12-08,2023-12-13,cash,5.405,USD,LB,8596261363
392963,Aramex,2023-12-08,2023-12-19,cash,10.94,USD,LB,8596261364
392964,Aramex,2023-12-08,2023-12-13,cash,12.23,USD,LB,8596261365
392965,Aramex,2023-12-08,2023-12-12,cash,3.25,USD,LB,8596261366
392966,Cosmaline,2023-12-08,2024-02-06,cash,17.0,USD,LB,8596261367
392967,Aramex,2023-12-08,2023-12-12,cash,7.225,USD,LB,8596261368
392968,Aramex,2023-12-08,2023-12-12,cash,13.78,USD,LB,8596261369
392969,Aramex,2023-12-08,2023-12-12,cash,9.93,USD,LB,8596261370
392970,Aramex,2023-12-08,2023-12-13,cash,12.515,USD,LB,8596261371
392971,Aramex,2023-12-08,2023-12-13,cash,7.225,USD,LB,8596261372
392972,Aramex,2023-12-08,2023-12-20,cash,7.05,USD,LB,8596261373
392973,Aramex,2023-12-08,2023-12-13,cash,12.14,USD,LB,8596261374
392974,Aramex,2023-12-08,2023-12-12,cash,7.475,USD,LB,8596261375
392975,Aramex,2023-12-08,2023-12-12,cash,2.97,USD,LB,8596261376
392976,Aramex,2023-12-08,2023-12-15,cash,7.83,USD,LB,8596261377
392977,Aramex,2023-12-08,2023-12-13,cash,11.385,USD,LB,8596261378
392978,Aramex,2023-12-08,2023-12-13,cash,10.91,USD,LB,8596261379
392979,Aramex,2023-12-08,2023-12-15,cash,15.07,USD,LB,8596261380
392980,Aramex,2023-12-08,2023-12-16,cash,5.73,USD,LB,8596261381
392981,Aramex,2023-12-08,2023-12-27,cash,13.125,USD,LB,8596261382
392982,Aramex,2023-12-08,2023-12-13,cash,11.41,USD,LB,8596261383
392983,Aramex,2023-12-08,2023-12-13,cash,10.02,USD,LB,8596261384
392984,Aramex,2023-12-08,2023-12-18,cash,10.145,USD,LB,8596261385
392985,Aramex,2023-12-08,2023-12-13,cash,18.455,USD,LB,8596261386
392986,Aramex,2023-12-08,2023-12-13,cash,17.585,USD,LB,8596261387
392987,Aramex,2023-12-08,2023-12-14,cash,12.65,USD,LB,8596261388
392988,Aramex,2023-12-08,2023-12-12,cash,15.865,USD,LB,8596261389
392989,Aramex,2023-12-08,2023-12-14,cash,5.48,USD,LB,8596261390
392990,Aramex,2023-12-08,2023-12-14,cash,10.17,USD,LB,8596261391
392991,Aramex,2023-12-08,2023-12-13,cash,3.5,USD,LB,8596261392
392992,Aramex,2023-12-08,2023-12-13,cash,10.055,USD,LB,8596261393
392993,Aramex,2023-12-08,2023-12-15,cybersource,11.61,USD,LB,8596261394
392994,Aramex,2023-12-08,2023-12-13,cash,6.115,USD,LB,8596261395
392995,Aramex,2023-12-08,2023-12-13,cash,14.815,USD,LB,8596261396
392996,Aramex,2023-12-08,2023-12-13,cash,10.45,USD,LB,8596261397
392997,Aramex,2023-12-08,2023-12-13,cash,24.6,USD,LB,8596261398
392998,Aramex,2023-12-08,2023-12-13,cash,12.385,USD,LB,8596261399
392999,Aramex,2023-12-08,2023-12-12,cash,12.5,USD,LB,8596261400
393000,Aramex,2023-12-08,2023-12-12,cash,2.7,USD,LB,8596261401
393001,Aramex,2023-12-08,2023-12-12,cash,4.925,USD,LB,8596261402
393002,Aramex,2023-12-08,2023-12-13,cash,10.48,USD,LB,8596261403
393003,Aramex,2023-12-08,2023-12-15,cash,6.73,USD,LB,8596261404
393004,Aramex,2023-12-08,2023-12-13,cash,4.47,USD,LB,8596261405
393005,Aramex,2023-12-09,2023-12-13,cash,5.265,USD,LB,8596261406
393006,Aramex,2023-12-09,2023-12-14,cash,3.675,USD,LB,8596261407
393007,Aramex,2023-12-09,2023-12-13,cash,12.2,USD,LB,8596261408
393008,Aramex,2023-12-09,2023-12-14,cash,11.02,USD,LB,8596261409
393009,Aramex,2023-12-09,2023-12-15,cash,11.135,USD,LB,8596261410
393010,Aramex,2023-12-09,2023-12-13,cash,10.36,USD,LB,8596261411
393011,Aramex,2023-12-09,2023-12-13,cash,14.28,USD,LB,8596261412
393012,Aramex,2023-12-09,2023-12-14,cash,12.35,USD,LB,8596261413
393013,Aramex,2023-12-09,2023-12-13,cash,30.02,USD,LB,8596261414
393014,Aramex,2023-12-09,2023-12-15,cash,4.41,USD,LB,8596261415
393015,Aramex,2023-12-09,2023-12-14,cash,5.03,USD,LB,8596261416
393016,Aramex,2023-12-09,2023-12-13,cash,41.74,USD,LB,8596261417
393017,Cosmaline,2023-12-09,2023-12-13,cash,5.02,USD,LB,8596261418
393018,Cosmaline,2023-12-09,2023-12-15,cash,17.32,USD,LB,8596261419
393019,Aramex,2023-12-09,2023-12-13,cash,13.29,USD,LB,8596261420
393020,Aramex,2023-12-09,2023-12-13,cash,10.625,USD,LB,8596261421
393021,Aramex,2023-12-09,2023-12-13,cash,10.19,USD,LB,8596261422
393022,Aramex,2023-12-09,2023-12-13,cash,10.625,USD,LB,8596261423
393023,Aramex,2023-12-09,2023-12-12,cash,10.04,USD,LB,8596261424
393024,Aramex,2023-12-09,2023-12-18,cash,13.3,USD,LB,8596261425
393025,Aramex,2023-12-09,2023-12-13,cash,12.22,USD,LB,8596261426
393026,Aramex,2023-12-09,2023-12-13,cash,15.51,USD,LB,8596261427
393027,Aramex,2023-12-09,2023-12-14,cash,10.67,USD,LB,8596261428
393028,Aramex,2023-12-09,2023-12-13,cash,11.625,USD,LB,8596261429
393029,Cosmaline,2023-12-09,2023-12-15,cash,17.0,USD,LB,8596261430
393030,Aramex,2023-12-09,2023-12-13,cash,25.55,USD,LB,8596261431
393031,Aramex,2023-12-09,2023-12-14,cash,11.855,USD,LB,8596261432
393032,Aramex,2023-12-09,2023-12-13,cash,6.21,USD,LB,8596261433
393033,Aramex,2023-12-09,2023-12-14,cash,7.725,USD,LB,8596261434
393034,Aramex,2023-12-09,2023-12-14,cash,12.425,USD,LB,8596261435
393035,Aramex,2023-12-09,2023-12-13,cybersource,5.99,USD,LB,8596261436
393036,Aramex,2023-12-09,2023-12-13,cash,13.05,USD,LB,8596261437
393037,Aramex,2023-12-09,2023-12-13,cash,11.65,USD,LB,8596261438
393038,Aramex,2023-12-09,2023-12-13,cash,10.335,USD,LB,8596261439
393039,Aramex,2023-12-09,2023-12-16,cash,6.585,USD,LB,8596261440
393040,Aramex,2023-12-09,2023-12-14,cash,10.08,USD,LB,8596261441
393041,Aramex,2023-12-09,2023-12-13,cash,14.54,USD,LB,8596261442
393042,Aramex,2023-12-09,2023-12-13,cash,10.325,USD,LB,8596261443
393043,Cosmaline,2023-12-09,2023-12-18,cash,23.42,USD,LB,8596261444
393044,Aramex,2023-12-09,2023-12-13,cash,10.505,USD,LB,8596261445
393045,Aramex,2023-12-09,2023-12-13,cash,9.925,USD,LB,8596261446
393046,Aramex,2023-12-09,2023-12-13,cash,6.185,USD,LB,8596261447
393047,Aramex,2023-12-09,2023-12-14,cash,20.64,USD,LB,8596261448
393048,Cosmaline,2023-12-09,2023-12-19,cash,23.865,USD,LB,8596261449
393049,Aramex,2023-12-09,2023-12-13,cash,5.375,USD,LB,8596261450
393050,Aramex,2023-12-09,2023-12-13,cash,7.86,USD,LB,8596261451
393051,Aramex,2023-12-09,2023-12-13,cash,10.995,USD,LB,8596261452
393052,Aramex,2023-12-09,2023-12-13,cash,6.63,USD,LB,8596261453
393053,Aramex,2023-12-09,2023-12-14,cash,5.25,USD,LB,8596261454
393054,Aramex,2023-12-09,2023-12-13,cash,19.53,USD,LB,8596261455
393055,Aramex,2023-12-09,2023-12-16,cash,10.71,USD,LB,8596261456
393056,Aramex,2023-12-09,2023-12-27,cash,5.405,USD,LB,8596261457
393057,Aramex,2023-12-09,2023-12-13,cash,6.185,USD,LB,8596261458
393058,Aramex,2023-12-09,2023-12-12,cash,4.1,USD,LB,8596261459
393059,Aramex,2023-12-09,2023-12-14,cash,8.765,USD,LB,8596261460
393060,Aramex,2023-12-09,2023-12-12,cash,16.325,USD,LB,8596261461
393061,Aramex,2023-12-09,2023-12-13,cash,10.12,USD,LB,8596261462
393062,Aramex,2023-12-09,2023-12-15,cash,16.965,USD,LB,8596261463
393063,Aramex,2023-12-09,2023-12-13,cash,10.43,USD,LB,8596261464
393064,Aramex,2023-12-09,2023-12-14,cash,14.55,USD,LB,8596261465
393065,Aramex,2023-12-09,2023-12-13,cash,19.48,USD,LB,8596261466
393066,Aramex,2023-12-09,2023-12-14,cash,10.525,USD,LB,8596261467
393067,Aramex,2023-12-09,2023-12-13,cash,10.295,USD,LB,8596261468
393068,Aramex,2023-12-09,2023-12-14,cash,9.72,USD,LB,8596261469
393069,Aramex,2023-12-09,2023-12-13,cash,6.31,USD,LB,8596261470
393070,Aramex,2023-12-09,2023-12-13,cash,6.98,USD,LB,8596261471
393071,Cosmaline,2023-12-09,2023-12-13,cash,17.5,USD,LB,8596261472
393072,Aramex,2023-12-09,2023-12-14,cash,12.91,USD,LB,8596261473
393073,Aramex,2023-12-09,2023-12-15,cash,12.805,USD,LB,8596261474
393074,Aramex,2023-12-09,2023-12-13,cash,6.0,USD,LB,8596261475
393075,Aramex,2023-12-09,2023-12-18,cash,3.13,USD,LB,8596261476
393076,Aramex,2023-12-09,2023-12-14,cash,26.345,USD,LB,8596261477
393077,Aramex,2023-12-09,2023-12-13,cash,4.725,USD,LB,8596261478
393078,Aramex,2023-12-09,2023-12-18,cash,4.35,USD,LB,8596261479
393079,Aramex,2023-12-09,2023-12-13,cash,18.0,USD,LB,8596261480
393080,Aramex,2023-12-09,2023-12-18,cash,32.785,USD,LB,8596261481
393081,Aramex,2023-12-09,2023-12-14,cash,10.88,USD,LB,8596261482
393082,Aramex,2023-12-09,2023-12-13,cash,13.58,USD,LB,8596261483
393083,Aramex,2023-12-09,2023-12-13,cash,10.655,USD,LB,8596261484
393084,Aramex,2023-12-09,2023-12-15,cash,14.8,USD,LB,8596261485
393085,Aramex,2023-12-09,2023-12-15,cash,10.95,USD,LB,8596261486
393086,Aramex,2023-12-09,2023-12-13,cash,19.53,USD,LB,8596261487
393087,Aramex,2023-12-09,2023-12-13,cash,6.505,USD,LB,8596261488
393088,Aramex,2023-12-09,2023-12-13,cash,10.665,USD,LB,8596261489
393089,Aramex,2023-12-09,2023-12-14,cash,11.095,USD,LB,8596261490
393090,Aramex,2023-12-09,2023-12-13,cash,11.105,USD,LB,8596261491
393091,Cosmaline,2023-12-09,2023-12-19,cash,9.99,USD,LB,8596261492
393092,Aramex,2023-12-09,2023-12-15,cash,14.44,USD,LB,8596261493
393093,Aramex,2023-12-09,2023-12-13,cash,10.01,USD,LB,8596261494
393094,Aramex,2023-12-09,2023-12-13,cash,7.125,USD,LB,8596261495
393095,Aramex,2023-12-09,2023-12-13,cash,10.275,USD,LB,8596261496
393096,Aramex,2023-12-09,2023-12-14,cash,8.65,USD,LB,8596261497
393097,Aramex,2023-12-09,2023-12-14,cash,13.965,USD,LB,8596261498
393098,Aramex,2023-12-09,2023-12-14,cash,3.75,USD,LB,8596261499
393099,Aramex,2023-12-09,2023-12-13,cash,11.62,USD,LB,8596261500
393100,Aramex,2023-12-09,2023-12-14,cash,4.19,USD,LB,8596261501
393101,Aramex,2023-12-09,2023-12-13,cash,7.62,USD,LB,8596261502
393102,Aramex,2023-12-09,2023-12-13,cash,10.85,USD,LB,8596261503
393103,Aramex,2023-12-09,2023-12-14,cash,12.81,USD,LB,8596261504
393104,Aramex,2023-12-10,2023-12-14,cash,11.1,USD,LB,8596261505
393105,Aramex,2023-12-10,2023-12-14,cash,10.455,USD,LB,8596261506
393106,Aramex,2023-12-10,2023-12-16,cash,7.44,USD,LB,8596261507
393107,Aramex,2023-12-10,2023-12-13,cash,4.195,USD,LB,8596261508
393108,Aramex,2023-12-10,2023-12-14,cash,4.195,USD,LB,8596261509
393109,Aramex,2023-12-10,2023-12-13,cybersource,6.1,USD,LB,8596261510
393110,Aramex,2023-12-10,2023-12-13,cash,12.295,USD,LB,8596261511
393111,Aramex,2023-12-10,2023-12-14,cash,11.34,USD,LB,8596261512
393112,Aramex,2023-12-10,2023-12-13,cash,10.185,USD,LB,8596261513
393113,Aramex,2023-12-10,2023-12-14,cash,5.005,USD,LB,8596261514
393114,Aramex,2023-12-10,2023-12-13,cash,10.92,USD,LB,8596261515
393115,Aramex,2023-12-10,2023-12-14,cash,10.455,USD,LB,8596261516
393116,Aramex,2023-12-10,2023-12-13,cash,14.515,USD,LB,8596261517
393117,Aramex,2023-12-10,2023-12-14,cash,12.14,USD,LB,8596261518
393118,Aramex,2023-12-10,2023-12-14,cash,11.06,USD,LB,8596261519
393119,Aramex,2023-12-10,2023-12-14,cash,10.32,USD,LB,8596261520
393120,Aramex,2023-12-10,2023-12-13,cash,17.135,USD,LB,8596261521
393121,Aramex,2023-12-10,2023-12-18,cash,6.86,USD,LB,8596261522
393122,Aramex,2023-12-10,2023-12-13,cash,5.4,USD,LB,8596261523
393123,Aramex,2023-12-10,2023-12-14,cash,8.065,USD,LB,8596261524
393124,Aramex,2023-12-10,2023-12-14,cash,12.83,USD,LB,8596261525
393125,Aramex,2023-12-10,2023-12-13,cash,10.975,USD,LB,8596261526
393126,Cosmaline,2023-12-10,2023-12-15,cash,20.55,USD,LB,8596261527
393127,Cosmaline,2023-12-10,2023-12-13,cash,18.42,USD,LB,8596261528
393128,Aramex,2023-12-10,2023-12-14,cash,13.21,USD,LB,8596261529
393129,Aramex,2023-12-10,2023-12-13,cash,6.32,USD,LB,8596261530
393130,Aramex,2023-12-10,2023-12-13,cash,13.205,USD,LB,8596261531
393131,Aramex,2023-12-10,2023-12-14,cash,12.755,USD,LB,8596261532
393132,Aramex,2023-12-10,2023-12-14,cash,10.29,USD,LB,8596261533
393133,Aramex,2023-12-10,2023-12-13,cash,11.07,USD,LB,8596261534
393134,Aramex,2023-12-10,2023-12-13,cash,9.15,USD,LB,8596261535
393135,Aramex,2023-12-10,2023-12-14,cash,10.73,USD,LB,8596261536
393136,Cosmaline,2023-12-10,2023-12-13,cash,18.93,USD,LB,8596261537
393137,Aramex,2023-12-10,2023-12-14,cash,6.0,USD,LB,8596261538
393138,Aramex,2023-12-10,2023-12-13,cash,11.295,USD,LB,8596261539
393139,Aramex,2023-12-10,2023-12-16,cash,21.615,USD,LB,8596261540
393140,Aramex,2023-12-10,2023-12-16,cash,16.91,USD,LB,8596261541
393141,Aramex,2023-12-10,2023-12-14,cash,5.4,USD,LB,8596261542
393142,Aramex,2023-12-10,2023-12-15,cash,5.9,USD,LB,8596261543
393143,Aramex,2023-12-10,2023-12-13,cash,8.645,USD,LB,8596261544
393144,Aramex,2023-12-10,2023-12-13,cash,12.24,USD,LB,8596261545
393145,Aramex,2023-12-10,2023-12-13,cash,10.095,USD,LB,8596261546
393146,Aramex,2023-12-10,2023-12-14,cash,10.97,USD,LB,8596261547
393147,Aramex,2023-12-10,2023-12-14,cash,18.05,USD,LB,8596261548
393148,Aramex,2023-12-10,2023-12-13,cash,27.15,USD,LB,8596261549
393149,Aramex,2023-12-10,2023-12-14,cash,10.285,USD,LB,8596261550
393150,Aramex,2023-12-10,2023-12-14,cash,18.75,USD,LB,8596261551
393151,Aramex,2023-12-10,2023-12-13,cash,9.16,USD,LB,8596261552
393152,Aramex,2023-12-10,2023-12-14,cash,11.035,USD,LB,8596261553
393153,Aramex,2023-12-10,2023-12-14,cash,11.13,USD,LB,8596261554
393154,Aramex,2023-12-10,2023-12-13,cash,9.745,USD,LB,8596261555
393155,Aramex,2023-12-10,2023-12-13,cash,14.895,USD,LB,8596261556
393157,Aramex,2023-12-10,2023-12-14,cash,10.685,USD,LB,8596261558
393158,Aramex,2023-12-10,2023-12-15,cash,10.08,USD,LB,8596261559
393159,Aramex,2023-12-10,2023-12-14,cash,14.6,USD,LB,8596261560
393160,Aramex,2023-12-10,2023-12-13,cash,10.75,USD,LB,8596261561
393161,Aramex,2023-12-10,2023-12-15,cash,5.08,USD,LB,8596261562
393162,Aramex,2023-12-10,2023-12-13,cash,6.51,USD,LB,8596261563
393163,Aramex,2023-12-10,2023-12-13,cash,6.665,USD,LB,8596261564
393164,Aramex,2023-12-10,2023-12-13,cash,5.08,USD,LB,8596261565
393165,Cosmaline,2023-12-10,2023-12-13,cash,11.33,USD,LB,8596261566
393166,Aramex,2023-12-10,2023-12-13,cash,10.99,USD,LB,8596261567
393167,Aramex,2023-12-10,2023-12-18,cash,11.915,USD,LB,8596261568
393168,Aramex,2023-12-10,2023-12-13,cash,13.66,USD,LB,8596261569
393169,Aramex,2023-12-10,2023-12-16,cash,6.225,USD,LB,8596261570
393170,Aramex,2023-12-10,2023-12-13,cash,4.915,USD,LB,8596261571
393171,Aramex,2023-12-10,2023-12-13,cash,10.305,USD,LB,8596261572
393172,Aramex,2023-12-10,2023-12-13,cash,7.25,USD,LB,8596261573
393173,Aramex,2023-12-10,2023-12-13,cybersource,13.095,USD,LB,8596261574
393174,Aramex,2023-12-10,2023-12-13,cash,11.15,USD,LB,8596261575
393175,Aramex,2023-12-10,2023-12-15,cash,10.015,USD,LB,8596261576
393176,Cosmaline,2023-12-10,2024-02-06,cash,25.36,USD,LB,8596261577
393177,Aramex,2023-12-10,2023-12-14,cash,9.47,USD,LB,8596261578
393178,Aramex,2023-12-10,2023-12-14,cash,10.105,USD,LB,8596261579
393179,Aramex,2023-12-10,2023-12-13,cash,7.655,USD,LB,8596261580
393180,Aramex,2023-12-10,2023-12-19,cash,4.8,USD,LB,8596261581
393181,Aramex,2023-12-10,2023-12-13,cash,10.05,USD,LB,8596261582
393182,Aramex,2023-12-10,2023-12-14,cash,4.185,USD,LB,8596261583
393183,Aramex,2023-12-10,2023-12-14,cash,9.345,USD,LB,8596261584
393184,Aramex,2023-12-10,2023-12-13,cash,23.22,USD,LB,8596261585
393185,Aramex,2023-12-10,2023-12-13,cash,10.435,USD,LB,8596261586
393186,Aramex,2023-12-10,2023-12-14,cash,10.41,USD,LB,8596261587
393187,Aramex,2023-12-10,2023-12-13,cash,11.455,USD,LB,8596261588
393188,Aramex,2023-12-10,2023-12-13,cash,11.435,USD,LB,8596261589
393189,Aramex,2023-12-10,2023-12-15,cash,10.58,USD,LB,8596261590
393190,Cosmaline,2023-12-10,2024-01-24,cash,0.0,USD,LB,8596261591
393191,Aramex,2023-12-10,2023-12-13,cash,5.4,USD,LB,8596261592
393192,Aramex,2023-12-10,2023-12-13,cash,6.815,USD,LB,8596261593
393193,Aramex,2023-12-10,2023-12-13,cash,13.04,USD,LB,8596261594
393194,Aramex,2023-12-10,2023-12-13,cash,7.645,USD,LB,8596261595
393195,Aramex,2023-12-10,2023-12-13,cash,5.3,USD,LB,8596261596
393196,Aramex,2023-12-10,2023-12-15,cash,10.455,USD,LB,8596261597
393197,Aramex,2023-12-10,2023-12-15,cash,5.565,USD,LB,8596261598
393198,Aramex,2023-12-10,2023-12-13,cash,10.08,USD,LB,8596261599
393199,Aramex,2023-12-10,2023-12-13,cash,10.08,USD,LB,8596261600
393200,Aramex,2023-12-10,2023-12-13,cash,11.345,USD,LB,8596261601
393201,Cosmaline,2023-12-10,2023-12-19,cash,61.2,USD,LB,8596261602
393202,Aramex,2023-12-10,2023-12-13,cash,12.02,USD,LB,8596261603
393203,Aramex,2023-12-10,2023-12-15,cash,4.565,USD,LB,8596261604
393204,Aramex,2023-12-10,2023-12-13,cash,13.555,USD,LB,8596261605
393205,Aramex,2023-12-10,2023-12-13,cash,10.855,USD,LB,8596261606
393206,Aramex,2023-12-10,2023-12-13,cash,5.94,USD,LB,8596261607
393207,Aramex,2023-12-10,2023-12-14,cash,6.315,USD,LB,8596261608
393208,Aramex,2023-12-10,2023-12-15,cash,5.32,USD,LB,8596261609
393209,Aramex,2023-12-11,2023-12-14,cash,10.0,USD,LB,8596261610
393210,Aramex,2023-12-11,2023-12-14,cash,10.11,USD,LB,8596261611
393211,Cosmaline,2023-12-11,2024-01-31,cash,0.0,USD,LB,8596261612
393212,Aramex,2023-12-11,2023-12-14,cash,17.365,USD,LB,8596261613
393213,Aramex,2023-12-11,2023-12-14,cash,10.975,USD,LB,8596261614
393214,Cosmaline,2023-12-11,2023-12-19,cash,43.41,USD,LB,8596261615
393215,Aramex,2023-12-11,2023-12-13,cash,2.97,USD,LB,8596261616
393216,Aramex,2023-12-11,2023-12-14,cash,12.44,USD,LB,8596261617
393217,Aramex,2023-12-11,2023-12-13,cash,8.315,USD,LB,8596261618
393218,Aramex,2023-12-11,2023-12-13,cash,9.975,USD,LB,8596261619
393219,Aramex,2023-12-11,2023-12-14,cash,3.475,USD,LB,8596261620
393220,Aramex,2023-12-11,2023-12-13,cash,11.43,USD,LB,8596261621
393221,Aramex,2023-12-11,2023-12-14,cash,14.15,USD,LB,8596261622
393222,Aramex,2023-12-11,2023-12-13,cash,5.015,USD,LB,8596261623
393223,Aramex,2023-12-11,2023-12-15,cash,12.48,USD,LB,8596261624
393224,Aramex,2023-12-11,2023-12-14,cash,7.48,USD,LB,8596261625
393225,Aramex,2023-12-11,2023-12-13,cash,11.85,USD,LB,8596261626
393226,Aramex,2023-12-11,2023-12-15,cash,6.93,USD,LB,8596261627
393227,Aramex,2023-12-11,2023-12-14,cash,10.72,USD,LB,8596261628
